ひとつ,One item
ふたつ,Two items
みっつ,Three items
よっつ,Four items
いつつ,Five item
むっつ,Six items
ななつ,Seven items
やっつ,Eight items
ここのつ,Nine items
とお,Ten items
いくつ,How many?
ひとり,One person
ふたり,Two people
さんにん,Three people
よにん,Four people
ごにん,Five people
ろくにん,Six people
しちにん,Seven people
はちにん,Eight people
きゅうにん,Nine people
じゅうにん,Ten people
なんにん,How many people?
いっぽん,One long thing
にほん,Two long things
さんぼん,Three long things
よんほん,Four long things
ごほん,Five long things
ろっぽん,Six long things
ななほん,Seven long things
はちほん,Eight long things
きゅうほん,Nine long things
じゅうぽん,Ten long things
なんほん,How many long things?
いっさつ,One book
にさつ,Two books
さんさつ,Three books
よんさつ,Four books
ごさつ,Five books
ろくさつ,Six books
ななさつ,Seven books
はっさつ,Eight books
きゅうさつ,Nine books
じゅっさつ,Ten books
なんさつ,How many books?
いっぴき,One animal
にひき,Two animals
さんびき,Three animals
よんひき,Four animals
ごひき,Five animals
ろっぴき,Six animals
ななひき,Seven animals
はっぴき,Eight animals
きゅうひき,Nine animals
じゅっぴき,Ten animals
なんぴき,How many animals?
いっぱい,One cup
にはい,Two cups
さんぱい,Three cups
よんはい,Four cups
ごはい,Five cups
ろっぱい,Six cups
ななはい,Seven cups
はっぱい,Eight cups
きゅうはい,Nine cups
じゅっぱい,Ten cups
なんぱい,How many cups?
いちまい,One flat object
にまい,Two flat objects
さんまい,Three flat objects
よんまい,Four flat objects
ごまい,Five flat objects
ろくまい,Six flat objects
ななまい,Seven flat objects
はちまい,Eight flat objects
きゅうまい,Nine flat objects
じゅうまい,Ten flat objects
なんまい,How many flat objects?
いっかい,One count
にかい,Two counts
さんかい,Three counts
よんかい,Four counts
ごかい,Five counts
ろっかい,Six counts
ななかい,Seven counts
はっかい,Eight counts
きゅうかい,Nine counts
じゅっかい,Ten counts
なんかい,How many counts?
