駐,チュウ stop-over; reside in; resident
駐車,ちゅうしゃparking
駐車場,ちゅうしゃじょう parking lot
馬,うま horse
主,おも main
無,む nothing
無理,むり impossible
無休,むきゅう work without holiday
無い,ない does not exist; do not have; gone
無料,むりょう free,no charge
有料,ゆうりょう fee
満,まん full
満車,まんしゃ full parking lot
満員,まんいん full (of people)
不満な,ふまんな dissatisfaction
満足な,まんぞくな satisfactory
空車,くうしゃempty car
方向,ほうこう direction
向かう,むかう to face; to go towards
向こう,むこう over there
N+向キ,N+むキ being suitable for N
禁,キン prohibition; ban; forbid general
禁止する,きんしするto prohibit
立入禁止,たちいりきんし do not enter
関心,かんしん concern;interest
係,けい かかりconcern oneself; connection; duty; person in charge
関係,かんけい relationship
係員,かかりいん A person in charge
係の人,かかりのひと person in charge
断る,ことわる to refuse
無断,むだん without permission
断水,だんすい suspension of the water supply
判断,はんだん judgement；decision
