横,よこ beside；side；width
横断,おうだん crossing
横断歩道,おうだんほどう pedestrian crossing
押す,おす to push
押さえる,おさえる hold down
押し入れ,おしいれSliding-door closet
式,しき ceremony
入学式,にゅうがくしき entrance ceremony
数式,すうしき numerical formula
押しボタン式,おしボタンしき a push button
信じる,しんじるto believe
自信,じしん confidence
信用,しんよう trust
送信,そうしん Email sending
通信,つうしん correspondence
信号,しんごう traffic light
号車,ごうしゃ carriage number
電話番号,でんわばんごう telephone number
3号室,さんごうしつRoom no. 3
号令,ごうれい order； command
正確な,せいかくな accurate； correct
確かな,たしかな certain
確かめる,たしかめるTo confirm
確認,かくにん confirmation
認める,みとめるadmit； approve
承認,しょうにん recognition；acknowledgement
飛ぶ,とぶ to fly
飛行機,ひこうき airplane
飛行場,ひこうじょう airport
