線,せん line
番線,ばんせん line (platform) number
全面,ぜんめん whole surface; entire
方面,ほうめん direction; area
画面,がめん screen
真面目な,まじめな serious
普通の,ふつうの normal；ordinary
普段,ふだん usually
各自,かくじ Respective Each person
各駅,かくえき every station
各国,かっこく each country
次,つぎ next
目次,もくじ table of contents
次回,じかい next time
次々,つぎつぎ one after another
快速,かいそく high speed
快速電車,かいそくでんしゃ rapid train
快適,かいてき pleasant； agreeable；comfortable
速い,はやい fast
高速道路,こうそくどうろ highway
速度,そくど speed
過ぎる,すぎる to pass；to exceed
通過,つうか passage through；passing
過去,かこ past
鉄,てつ iron
地下鉄,ちかてつ subway
鉄道,てつどう railroad
