整理する,せいりする to organize
整理券,せいりけん Numbered ticket with order number
停車する,ていしゃする stop a vehicle
ベス停,べすてい bus stop
停電,ていでん power outage
券,けん ticket
駐車券,ちゅうしゃけん parking ticket
乗車券,じょうしゃけん boarding ticket
回数券,かいすうけん (book of commuter tickets)
現れる,あらわれる to appear
現金,げんきん cash
表現,ひょうげん expression；presentation；representation (math)
現在,げんざい present
現実,げんじつ reality；actuality
両親,りょうしん parents
車両,しゃりょう train car
両方,りょうほう both sides
両手,りょうて both hands
取り替える,とりかえる to exchange
着替える,きがえる to change clothes
両替,りょうがえ money exchange
優しい,やさしい kind
優先席,ゆうせんせき priority seat
女優,じょゆう actress
男優,だんゆう actor
俳優,はいゆう actor；actress；performer
声優,せいゆう voice actor
座る,すわる to sit
座席,ざせき seat
正座,せいざ sitting on the floor Japanese style
星座,せいざ constellation
降りる,おりる to get off
降る,ふる to fall (rain；snow)
降車口,こうしゃぐち exit (for getting off)
乗車口,じょうしゃぐち entrance door
以降,いこう after
