未定,みてい undecided/indefinite
未来,みらい future
～未満,～みまん less than
未婚,みこん unmarried
末,すえ the end
末子,すえこ youngest child
週末,しゅうまつ weekend
年末,ねんまつ end of the year
月末,げつまつ end of the month
若い,わかい young
若さ,わかさ youthfulness
若者,わかもの young people; youth
晩,ばん evening
今晩,こんばん tonight
晩御飯,ばんごはん dinner
毎晩,まいばん every night
島,しま island
バリ島,Bali Island
無人島,むじんとう deserted island
島民,とうみん islander
皿,さら plate
灰皿,はいざら ashtray
血,ち blood
出血,しゅっけつ bleeding
血液型,けつえきがた blood type
血圧,けつあつ blood pressure
助ける,たすける to help
救助,きゅうじょ rescue/help
