駐,チュウ stopover；reside in；resident
無,む nothing
満,まん full
禁,キン prohibition
関,かん connection
係,かかり；にん person in charge
断,ことわる；だん refuse
押,お.す；お.さえる push；press
式,しき ceremony
号,ごうう number
確,たし．かな；たし．かめる；かく certain
認,みと。める;にん acknowledge
飛,ぶ と；ヒ fly
横,よこ；おう beside；side
非,ひ un-；mistake；negative
常,つね；じょう usual；ordinary
階,かい floor
段,だん step; stair
箱,はこ box
危,あぶ.ない；キ dangerous；fear
険,けわ.しい；ケン precipitous; inaccessible places
捨,す.てる discard；throw away
線,せん line
面,おも；おもて；まん mask；face；features；surface
普,ふ universal；wide(ly)
各,かく each; every; all
次,つぎ；じ；し next; following; subsequent
快,かい pleasure; delight; enjoyment
速,そく fast; speed
過,す．ぎる；カ；excess-; over-
鉄,てつ iron
指,ゆび；さ．す；さ．し；シ finger
定,テイ; ジョウ determine;fix;establish;decide
席,せき seat
由,ゆう；ゆ wherefore；a reason
番,ばん number
窓,まど window
側,がわ side
路,みち；ロ；ル road; path; street; lane; passage
停,と．まる；テイ halt;stopping
整,せい sorting; arrangement; organization
券,けん ticket
現,げん；おらわ．れる present;existing;actual
両,りょう both
替,か.える exchange
優,やさ.しい；ユウ ；gentleness
座,すわ．る；ざ seat; place
降,おーりる；ふーる；こう descend/get off
未,み not yet
末,すえ；まつ the end
若,わか young
晩,ばん evening
島,しま；とう island
皿,さら plate
血,ケツ；ち blood
助,たす．ける；じょ help; rescue
