準備,じゅんび preparation
水準,すいじゅん a standard
基準,きじゅん standard; criterion
用,よう task
備える,そなえる prepare
営業,えいぎょう business
経営,けいえい management
門,もん gate
問,もん question
間,あいだ between
開ける,あける to open
閉まる,しまる to close
閉める,しめる to close something
開閉,かいへい open and shut
案,あん idea; proposal
案内,あんない・する information； guidance； leading
提案する,ていあんする to propose
内側,うちがわ inside
家内,かない wife
以内,いない within
国内,こくない domestic
予定,よてい a schedule； a plan
予習する,よしゅうする to prepare one's lessons
予約,よやく reservation
天気予報,てんきよほう weather forecast
約,やく approximately
約束する,やくそくする to promise
契約,けいやく contract
婚約する,こんやくする to get engaged
