留学,りゅうがく studying abroad
保留,ほりゅう reservation ; suspension
留守番,るすばん looking after a house during someone's absence
書留,かきとめ registered mail
守る,まもる to protect
守備,しゅび defense
留守,るすabsence; not at home
お守り,おまもり good-luck charm
濃い,こい thick (as of color； liquid)；dense；strong
薄い,うすい thin；weak
薄暗い,うすぐらい dim；gloomy
薄める,うすめる to dilute；to water down
部分,ぶぶん part
部長,ぶちょう department manager
学部,がくぶ faculty
部屋,へや room
数,かず number
数える,かぞえる to count
数字,すうじ number
数学,すうがく mathematics
件名,けんめい subject
事件,じけん event；affair；incident
用件,ようけん a business/matter
再入国,さいにゅうこくre-enter a country
再ダイアル,さいダイアル redial
再生,さいせい regenerate； recycle
再来週,さらいしゅう the week after next
