要,よう／いる need；main point
冷,れい／つめたい／ひやす／ひえる／さめる／さます cool；cold (beer； person)；chill
蔵,ぞう／くら warehouse； depository
凍,トウ ／こお.る frozen；refrigerate
庫,コ warehouse；storehouse
召し上がる,めしあがる (polite) to eat
保,ホ protect；guarantee；keep
存,ぞん exists；to know
必,ヒツ／かなら.ず certain；inevitable
費,ひ cost；expense
期,き period; time
限,ゲン／かぎ.る limit；restrict
製,せい made in
造,ゾウ／つく.る create；make
賞,しょう prize；award
法,ほう method；law；rule；principle
温,オン / あたた.かい warm
販,ハン marketing；sell；trade
機,き machine
増,ゾウ／ふ.える／ふ.やす increase；gain
減,ゲン／へ.る／へ.らす decrease；reduce
量,りょう quantity
氷,こおり／ひょう ice
返,ヘン／かえ.る return；answer
湯,ゆ hot water
材,ざい material
卵,たまご egg
乳,にゅう／ちち milk/the breasts
粉,こな／こ／ふん powder
袋,ふくろ bag
混,コン／ま.ぜる mix；confuse
焼,やく／やける burn
表,ひょう／おもて／あらわす the front
裏,うら reverse side
留,りゅう／る／とめる detain； halt；stop
守,す／しゅ/まもる protect
濃,コい thick；dark
薄,うすい thin；weak
部,ぶ section；part；counter for copies of a newspaper or magazine
数,すう／かず／かぞえる number；figure
件,けん case；matter；item
再,さい／さ again；twice；second time
接,せつ contact
続,ぞく/つづく／つづける to continue
示,ジ／しめ.す show；indicate；point out
戻,もど.す／もど.る re-; return
完,かん perfect；completion；end
了,りょう complete；finish
登,トウ／ト／のぼ.る climb up
録,ロク record
