古い,ふるい old
吉,きち good luck
広告,こうこく advertisement
告白,こくはく confession
予告,よこく Advanced notice
予告編,よこくへん Trailer (Film・TV)Preview
便利な,べんりな convenient
有利な,ゆうりな advantageous；profitable
利用,りよう use
利子,りし interest (bank)
害,ガイ harm；injury
割る,わる to break
割れる,われる crack/cleave
割合,わりあい ratio; percentage
割引,わりびき discount
倍,ばい - times (size; quantity)
二倍,にばい double
値段,ねだん price
値上げする,ねあげする to raise (price)
値下げする,ねさげする lower the price
賞品,しょうひん prize
商品,しょうひん product
商店,しょうてん ‌a shop
商店街,しょうてんがい shopping district
支店,してん Branch store
本店,ほんてん head store
支社,ししゃ branch office
本社,ほんしゃ head office
払う,はらう to pay
支払い,しはらい payment
