米,こめ rice
米国,べいこく USA
白米,はくまい white rice
高級,こうきゅう high class/grade
中級,ちゅうきゅう intermediate level
上級,じょうきゅう advanced level
残業,ざんぎょう overtime work
残り,のこり remaining；left-over
残る,のこる to remain
残す,のこす to leave
大型,おおがた Large size
小型,こがた small-sized
新型,しんがた New model
消費税,しょうひぜい consumption tax
税金,ぜいきん tax
税込み,ぜいこみ tax included
込む,こむ to get crowded
振り込む,ふりこむ transfer money to a person's account
価格,かかく Price；value；cost (formal)
定価,ていか fixed price
合格,ごうかくpassing an exam
不合格,ふごうかくNot passing exam
格安,かくやす (very) cheap; (very) inexpensive; cut-price; bargain (price)
