申す,もうす say (humble)
申し上げる,もうしあげる say (very humble)
申し込む,もうしこむ to apply for；to make an application
申込書,もうしこみしょ Application form
申告,しんこくDeclaration
申請,しんせい application
記入,きにゅう entry；filling in of forms
日記,にっき diary
記号,きごう a sign；a symbol
記事,きじ article
例,れい example
例外,れいがい exception
例えば,たとえば for example
年齢,ねんれい age
高齢,こうれい old age
高齢化,こうれいか population aging
歳,さい years old
二十歳,はたち 20 years old
性別,せいべつ gender
性格,せいかく personality
女性,じょせい woman
男性,だんせい male
連休,れんきゅう consecutive holidays
連れていく,つれていく to take (someone)
連れてくる,つれてくる to bring (a person)
連絡,れんらく contact ; connection
