届く,とどく arrive (mail)
届ける,とどける to deliver
自宅,じたく my house
お宅,おたく (polite) your house
宅配,たくはい Home delivery
配る,くばる to distribute
心配,しんぱい worry
配達,はいたつ delivery
配送料,はいそうりょう a delivery charge
配信,はいしん distribution; delivery; provision
希望する,きぼうする hope
希望に燃える,きぼうにもえる To burn with hope
希望を見失う,きぼうをみうしなう To lose sight of hope
失望する,しつぼうする to be disappointed
望む,のぞむ want；hope for
入荷,にゅうか arrival of goods
出荷,しゅっか shipment
荷物,にもつ luggage
手荷物,てにもつ hand luggage
交換,こうかん exchange
乗り換え,のりかえ changing trains
代金引換,だいきんひきかえ cash on delivery
代引き,だいびき cash on delivery
金額,きんがく amount of money
半額,はんがく half price
