存在,そんざい existence；being
不在,ふざい absence
現在,げんざい Present time
取る,とる to take something
受け取る,うけとる to receive
受取人,うけとりにん recipient
預ける,あずける to entrust
預金,よきん deposit； bank account
衣類,いるい clothes；clothing；garments
衣服,いふく clothes
衣食住,いしょくじゅう necessities of life (food; clothing; shelter)
参加,さんか participation; joining; entry
参考書,さんこうしょ reference book
参る,まいる go/come (humble)
幸,しあわ happiness
達する,たっする to reach；to get to
上達,じょうたつ improvement
速達,そくたつ express；special delivery
友達,ともだち friend
勤める,つとめる to work for someone
通勤,つうきん commuting to work
帯,おび belt
携帯電話,けいたいでんわ cell phone
時間帯,じかんたい Time zone
