砂,さ；すな sand
塩,えん；しお salt
油,ゆ；あぶら oil
緑,きょく；みどり green
紅,こう/べに crimson；deep red
冊,さつ counter for books
個,こ counter for small things
枚,まい counter for flat objects
告,こく tell；inform；announce
利,り benefit
割,わる；われる break；crack；smash
倍,バイ double； times
値,ね value；price
商,しょう dealing in; merchant; selling
支,し branch
払,はら．う to pay
米,こめ；まい；べい rice；USA
級,きゅう class；rank
残,ざん*/のこ* to remain
型,かた mold；model；data-type
税,ぜい tax
込,こ.む；こ.み crowded；included
価,カ value；price
格,かく status；character；case
申,シン；もう.す to say; to tell; to state
記,き to write down
例,れい；たとえる example
齢,レイ age
歳,さい years old
性,せい gender
連,れん；つれる join；connect
絡,らく get caught in
届,とど.ける；とど.く deliver；reach；arrive
宅,たく house；home
配,はい/くば to deliver
希,き hope
望,ボウ／のぞ.む ambition；hope；desire
荷,か／に load; baggage; cargo
換,カン／か.える interchange；period；charge
額,がく amount (money); sum
在,ざい exist
取,とる taking; taker; collecting
預,ヨ／あず.ける deposit；entrust to
衣,い clothes; garment
参,サン／まい.る going；coming；participate；take part in
達,たつ accomplished；reach
勤,キン／つと.める become employed;serve
帯,たい／おび belt；zone
細,サイ／ほそ.い／こま.かい get thin；slender；narrow
戸,と door
湖,コ／みずうみ lake
船,せん／ふね／ふな ship; boat
角,かく／かど corner
夫,ふ／ふう／おっと husband；man
苦,く／くるしい／にがい worry；hardship；feel bitter
