長男 ちょうなん,Eldest son
長女 ちょうじょ,eldest daughter
末っ子 すえっこ,youngest child
月末 (げつまつ),end of the month
一人っ子 ひとりっこ,only child
いとこ,cousin
孫 まご,grandchild
そっくりな双子 そっくりなふたご,identical twins
父にそっくりだ,You look just like your dad
親戚 しんせき,relative
仲のいい夫婦 (なかのいいふうふ),Good relationship married couple
親友(しんゆう),best friend; close friend
親しい友人（したしいゆうじん）,close friend
恋人 こいびと,lover
仲間 なかま,company; fellow; colleague
相手(あいて),partner; the other person
知り合い しりあい,acquaintance
性格がいい, せいかくがいい,good personality
性格が悪い（せいかくがわるい）,bad personality
せいかくがあかるい,bright, light, cheerful (personality)
性格が暗い せいかくがくらい,not bright and cheerful personality
こどもっぽい (子供っぽい),childish
おとこっぽい (男っぽい),manly(Negative; use for girl)
おとなしい人,quiet person
おとなしい犬,dog doesn't bark
だらしない人,sloppy person
つめたいひと (冷たい人),cold person
こまかいひと,detail and precise person
いじわるひと,အကျင့်ပုတ်သောသူ
すなおなひと,ဖြူစင်သောသူ
しょうじきなひと,ရိုးသားသောသူ
らんぼうな（乱暴な）人,ကြမ်းတမ်းသောသူ
わかままな,selfish
せっきょくてきな,positive; active; proactive
落ち着いた（おちついた）,calm; composed
きちんとした,neat/respectable
変わった かわった,is different; odd; unusual
おもいやり (思いやり)がある,considerateness; thoughtfulness
ユーモアがある,sense of humor
勇気 ゆうき,courage
じょうだん (冗談)を言う,joke
自慢 じまん,pride; boast(Negative)
