どくしん（のじょせい）ー独身（の女性）,single; unmarried(Man)
どくしん（のだんせい）ー独身（の男性）,single; unmarried(Woman)
であうー出会う,to meet by chance; to happen to encounter
しりあうー知り合う,to get acquainted with
つきあう ー付き合う,တွဲသည်/အဖော်လိုက်သည်
さそう ー(デートに)誘う,to invite; date
ことわる ー（はっきり）断る,to refuse; turn down
つきあいー付き合いがつづく,Relations; (Romantic) Relationship
かんじるー(あいを）感じる,to feel(Love)
やぶるー（やくそくを）破る,break(the promise)
まもるー（やくそくを）守る,keep(the promise)
うたがうー疑う,to doubt; suspect
ゆるすー許す,forgive / let off
(かおを）たたく,to hit; to slap（face)
たいどー(つめたい)態度(を取る）,Attitude; manner(Cold)
ふられるー（かれに）振られる,to be dumped; be rejected
りこんするー離婚する,divorce
かなしむー悲しむ,be sad；to mourn
はらがたつー（腹が立つ）,to get angry at something/with somebody
ふあんー不安（を感じる）,anxiety; uneasiness; insecurity
きょうふー恐怖（を感じる）,fear
ふまんー不満（を持つ）,dissatisfaction
まんぞくするー満足する,satisfaction
がっかりする,feel disappointed; be dejected; lose heart
なやむー悩む,to be worried; to be troubled
まようー迷う,get lost; be puzzled over(တွေ‌‌‌ေ၀)
かんどうする（感動する）,to be moved/touched (by...) (～に)(စိတ်လူပ်ရှား)
かんじょう (感情),feeling; emotion
かんしゃするー感謝,thanks; gratitude
びっくりする,startle; surprise
あわてるー慌てる,to panic(ပျာယာခတ်)
きぼうー希望,hope
のぞむー望む,to want/hope for
