かわー皮,skin；leather；fur；shell
むく,to peel(かわをむく)
くわえるー加える,to add (さとうを加える)
混ざる (まざる)／混ぜる (まぜる),mix；blend (材料を混ぜる)
鍋 (なべ),pan；pot
煮る（にる）,to boil(なべで煮る）
油 （あぶら）,oil
揚げる（あげる）,to fry (油で揚げる)-ဆီများများနဲ့ကြော်
容器 (ようき),container
移す（うつす）,to move (ようきにうつす）
腐る（くさる）,rot；go bad；decay(やさいがくさる）
生で食べる（なまでたべる）,eat something raw
酸っぱい味（すっぱいあじ）,sour taste
濃い味（こいあじ）,strong taste
しつこい味,too rich taste(Negative)
やわらかい（柔らかい）,soft；tender (にくがやわらかい)
かたい (硬い),hard；solid (にくがかたい)
香りがいい (かおりがいい),かおり aroma；fragrance；scent
おなかがペコペコだ,I am famished(တဂွီဂွီ မြည်)
のどがカラカラだ,I'm parched(ခြောက်ကပ်ကပ်)
高級 (こうきゅう),high class(高級なレストランに行く）
メニュー,menu（メニューからえらぶ）
栄養 (えいよう),nutrition
えいようのバランスをかんがえる(栄養のバランスを考える),think about the nutritional balance
注文する（ちゅうもんする）,to place an order (〜を）
追加する(ついかする),addition
ビールで乾杯する(かんぱい),to make a toast
お酒に酔う(おさけによう),to get drunk
舌を火傷する（ したをやけどする）,burn tongue
野菜を残（やさいをのこす）,to leave vegetables (uneaten)
食事のマナーを教える（しょくじのマナーをおしえる）,Keep the table manner
支払い（しはらい）がすむ,payment
食費がかかる,meal cost
お弁当 (おべんとう),lunch box
おかず,side dish
おにぎり🍙,onigiri (rice ball)
お菓子（おかし）,snack; sweets
